text,label,intent_layer,language,tool,action,condition,prediction,autonomous
Keep the product changelog updated whenever a feature ships,autonomous,4,en,CRM,update_record,,,True
Create a follow-up task if the demo has no outcome,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Informa il team prima della presentazione al cliente,predictive,3,it,WORKFLOW,execute,,prediction_window,False
Update the deal in HubSpot,basic,1,en,CRM,update_record,,,False
Email the team when the contract is signed,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Summarise the competitor analysis,basic,1,en,AI,summarise,,,False
Alert the legal team before the patent filing deadline,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Prepare the onboarding checklist before the new hire arrives,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Always notify the product team when a feature request gets 10 votes,autonomous,4,en,WORKFLOW,execute,,,True
Monitorear continuamente el pipeline y marcar los tratos inactivos,autonomous,4,es,ANALYTICS,fetch_report,,,True
推介会议前向投资者简报,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Always create a follow-up task after every outbound call,autonomous,4,en,TASKS,create_ticket,,,True
Alert the ops team before the peak traffic period,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Vsegda otpravlyat pismo s podtverzhdeniem posle kazhdoy vstrechi,autonomous,4,ru,WORKFLOW,execute,,,True
انشاء تذكرة اذا تجاوز معدل الخطا 5 بالمئة,context_aware,2,ar,TASKS,create_ticket,trigger_condition,,False
Alert the account manager before the contract expires,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Preduprezhdenie finansov do srokov platezha,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Team erinnern bevor die Sprint-Deadline erreicht wird,predictive,3,de,WORKFLOW,execute,,prediction_window,False
Send the OKR review before the quarterly planning session,predictive,3,en,EMAIL,send_message,,prediction_window,False
Always send a follow-up email whenever a meeting ends,autonomous,4,en,EMAIL,send_message,,,True
Proinstrutirovat investora pered vstrochey pitcha,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Podgotovit materialy dlya soveta do kvartalnogo obzora,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
تسجيل المكالمة في سيلزفورس,basic,1,ar,WORKFLOW,execute,,,False
Crear una tarea para el equipo de desarrollo,basic,1,es,TASKS,create_ticket,,,False
Vsegda sozdavat zadachu Jira kogda soobshchaetsya ob oshibke,autonomous,4,ru,TASKS,create_ticket,,,True
Crear un ticket si la tasa de error supera el 5 por ciento,context_aware,2,es,TASKS,create_ticket,trigger_condition,,False
Notificar a engenharia assim que a especificacao for aprovada,context_aware,2,pt,WORKFLOW,execute,trigger_condition,,False
TL;DR the board pack,basic,1,en,WORKFLOW,execute,,,False
Write the project proposal,basic,1,en,DOCS,draft_document,,,False
Invia sempre una email di follow-up dopo ogni riunione,autonomous,4,it,CALENDAR,create_event,,,True
Send the invoice when the milestone is reached,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Proinstrutirovat komandu pered prezentasiey klientu,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Envoyer l ordre du jour avant la reunion du conseil,predictive,3,fr,EMAIL,send_message,,prediction_window,False
تحديث نظام CRM تلقائيا عندما تتغير مرحلة الصفقة,autonomous,4,ar,CRM,update_record,,,True
Post the announcement to all channels,basic,1,en,COMMS,post_message,,,False
Obtenir le rapport du pipeline T3,basic,1,fr,ANALYTICS,fetch_report,,,False
Always create a debrief task after every lost deal,autonomous,4,en,TASKS,create_ticket,,,True
Automatically create a Jira subtask for every PR that needs review,autonomous,4,en,TASKS,create_ticket,,,True
Schedule a retrospective after the sprint ends,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Autonomously update the CRM whenever a deal stage changes,autonomous,4,en,CRM,update_record,,,True
Registrar la llamada en Salesforce,basic,1,es,CRM,update_record,,,False
Send the Q3 report when the auditor signs off,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Anruf in Salesforce protokollieren,basic,1,de,CRM,update_record,,,False
Alertar o gerente de contas antes do contrato expirar,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Automatically assign new leads to the right sales rep based on territory,autonomous,4,en,WORKFLOW,execute,,,True
合同到期前提醒客户经理,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Fetch the Q3 pipeline report,basic,1,en,ANALYTICS,fetch_report,,,False
Otpravit balans kogda scheta budut zakryty,context_aware,2,ru,EMAIL,send_message,trigger_condition,,False
Vsegda planirovat briefing posle kazhdogo zvonka s klientom,autonomous,4,ru,WORKFLOW,execute,,,True
Notificar al cliente antes de que termine la prueba,predictive,3,es,WORKFLOW,execute,,prediction_window,False
Alerter le responsable de compte avant l expiration du contrat,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Notifier le client avant la fin de l essai,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Lembrar a equipe antes do prazo do sprint,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Always log every demo in the CRM with the outcome,autonomous,4,en,CRM,update_record,,,True
Send the agenda before the design review,predictive,3,en,EMAIL,send_message,,prediction_window,False
Notify engineering once the spec is approved,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Fetch the support ticket backlog,basic,1,en,CRM,update_record,,,False
ارسال عرض التجديد قبل انتهاء العقد,predictive,3,ar,EMAIL,send_message,,prediction_window,False
Pull the monthly revenue numbers,basic,1,en,WORKFLOW,execute,,,False
Nach jeder Demo immer einen Follow-up-Vorschlag ausarbeiten,autonomous,4,de,WORKFLOW,execute,,,True
Programar una llamada cuando el cliente responda,context_aware,2,es,CALENDAR,create_event,trigger_condition,,False
Enviar el informe semanal al equipo,basic,1,es,EMAIL,send_message,,,False
Draft an email to the board,basic,1,en,EMAIL,send_message,,,False
Redigi il documento di proposta,basic,1,it,COMMS,post_message,,,False
Update Salesforce if the deal moves to negotiation,context_aware,2,en,CRM,update_record,trigger_condition,,False
Update the CRM if the contact changes company,context_aware,2,en,CRM,update_record,trigger_condition,,False
账目关闭后发送财务报表,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Preparar el informe del consejo antes de la revision trimestral,predictive,3,es,ANALYTICS,fetch_report,,prediction_window,False
Remind the account manager before the renewal date,predictive,3,en,WORKFLOW,execute,,prediction_window,False
董事会会议前发送议程,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Book a flight for the conference,basic,1,en,CALENDAR,create_event,,,False
Automatically send the weekly investor update every Friday,autonomous,4,en,EMAIL,send_message,,,True
ارسال الميزانية عند اغلاق الحسابات,context_aware,2,ar,EMAIL,send_message,trigger_condition,,False
Always add a calendar block for deep work every morning,autonomous,4,en,WORKFLOW,execute,,,True
Send the invoice when the project is delivered,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Always assign a customer success manager to every new enterprise account,autonomous,4,en,WORKFLOW,execute,,,True
Crea sempre un ticket Jira quando viene segnalato un bug,autonomous,4,it,TASKS,create_ticket,,,True
Update the project tracker when a milestone is hit,context_aware,2,en,CRM,update_record,trigger_condition,,False
Draft the client proposal,basic,1,en,DOCS,draft_document,,,False
Alle Kundenanrufe automatisch in HubSpot protokollieren,autonomous,4,de,CRM,update_record,,,True
Verlaengerungsangebot senden bevor der Vertrag ablaeuft,predictive,3,de,EMAIL,send_message,,prediction_window,False
Always schedule a debrief after every client call,autonomous,4,en,CALENDAR,create_event,,,True
Always send a thank you note after every signed contract,autonomous,4,en,EMAIL,send_message,,,True
Informar al equipo antes de la presentacion del cliente,predictive,3,es,WORKFLOW,execute,,prediction_window,False
اشعار المالية اذا تم الفوز بالصفقة,context_aware,2,ar,WORKFLOW,execute,trigger_condition,,False
Notificar o financeiro se o negocio for fechado,context_aware,2,pt,WORKFLOW,execute,trigger_condition,,False
Always notify the account manager when a customer opens a proposal,autonomous,4,en,WORKFLOW,execute,,,True
Book a call with the new prospect,basic,1,en,CALENDAR,create_event,,,False
Send the welcome email to the new customer,basic,1,en,EMAIL,send_message,,,False
Sempre agendar um debriefing apos cada ligacao com o cliente,autonomous,4,pt,CALENDAR,create_event,,,True
Enviar la factura cuando se entregue el proyecto,context_aware,2,es,EMAIL,send_message,trigger_condition,,False
Bericht senden wenn der Prufer unterzeichnet,context_aware,2,de,EMAIL,send_message,trigger_condition,,False
Record the new lead in the CRM,basic,1,en,CRM,update_record,,,False
Publicar la actualizacion en el canal de Slack,basic,1,es,CRM,update_record,,,False
Draft the press release before the announcement,predictive,3,en,DOCS,draft_document,,prediction_window,False
Post the update to the Slack channel,basic,1,en,CRM,update_record,,,False
Create a Jira ticket for the login bug,basic,1,en,CRM,update_record,,,False
预约与客户的通话,basic,1,zh,WORKFLOW,execute,,,False
Continuously sync deal data between Salesforce and the finance system,autonomous,4,en,CRM,update_record,,,True
获取第三季度销售渠道报告,basic,1,zh,WORKFLOW,execute,,,False
Vorstandssitzung fuer Dienstag planen,basic,1,de,CALENDAR,create_event,,,False
Nachbesprechung nach der Praesentation planen,context_aware,2,de,WORKFLOW,execute,trigger_condition,,False
Send the survey before the product feedback session,predictive,3,en,EMAIL,send_message,,prediction_window,False
Continuously monitor the pipeline and flag stale deals,autonomous,4,en,ANALYTICS,fetch_report,,,True
Notify the ops team if inventory drops below threshold,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
推介前起草提案,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Update HubSpot when a lead moves to qualified,context_aware,2,en,CRM,update_record,trigger_condition,,False
Write the job description for the ML engineer,basic,1,en,DOCS,draft_document,,,False
Send a reminder if the client misses the payment deadline,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Always notify the security team when a failed login attempt occurs,autonomous,4,en,CRM,update_record,,,True
Zabronirovat zvonok s klientom,basic,1,ru,WORKFLOW,execute,,,False
ارسال جدول الاعمال قبل اجتماع مجلس الادارة,predictive,3,ar,EMAIL,send_message,,prediction_window,False
Schedule a debrief once the audit is complete,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Send the report after the meeting is transcribed,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Log the interaction when a customer contacts support,context_aware,2,en,CRM,update_record,trigger_condition,,False
在Salesforce中记录通话,basic,1,zh,CRM,update_record,,,False
Recordar al equipo antes de la fecha limite del sprint,predictive,3,es,WORKFLOW,execute,,prediction_window,False
Create a follow-up task for the sales team,basic,1,en,TASKS,create_ticket,,,False
Tagesordnung senden bevor die Vorstandssitzung beginnt,predictive,3,de,CALENDAR,create_event,,prediction_window,False
Post the summary when the research is complete,context_aware,2,en,AI,summarise,trigger_condition,,False
Notify the team before the data centre migration,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Send a message to the leadership team,basic,1,en,EMAIL,send_message,,,False
Share the update in the leadership channel,basic,1,en,CRM,update_record,,,False
Get the weekly active user stats,basic,1,en,WORKFLOW,execute,,,False
Notify the board if the ARR target is missed,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Continuously sync contact data between Salesforce and HubSpot,autonomous,4,en,CRM,update_record,,,True
تذكير الفريق قبل موعد تسليم السبرنت,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Brief the investor relations team before earnings,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Automatically post the daily standup summary to Slack,autonomous,4,en,AI,summarise,,,True
Enviar o relatorio semanal para a equipe,basic,1,pt,EMAIL,send_message,,,False
Rechnung an das Finanzteam senden,basic,1,de,EMAIL,send_message,,,False
Publicar las notas de lanzamiento cuando la compilacion este en produccion,context_aware,2,es,COMMS,post_message,trigger_condition,,False
Keep sending check-in emails to churned customers every 90 days,autonomous,4,en,EMAIL,send_message,,,True
Notify the account manager if the customer churns,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Keep scheduling check-ins with prospects every two weeks,autonomous,4,en,WORKFLOW,execute,,,True
Aggiorna automaticamente il CRM quando cambia una fase della trattativa,autonomous,4,it,CRM,update_record,,,True
Alert the finance team before the budget freeze,predictive,3,en,WORKFLOW,execute,,prediction_window,False
اشعار العميل قبل انتهاء فترة التجربة,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Continuously update the competitive intelligence database,autonomous,4,en,CRM,update_record,,,True
ارسال التقرير عند توقيع المدقق,context_aware,2,ar,EMAIL,send_message,trigger_condition,,False
Vsegda sostavlyat predlozhenie po deystviyam posle kazhdoy demonstratsii,autonomous,4,ru,WORKFLOW,execute,,,True
Redigir o documento de proposta,basic,1,pt,COMMS,post_message,,,False
Draft the proposal before the pitch,predictive,3,en,DOCS,draft_document,,prediction_window,False
Always add new customers to the onboarding Slack channel,autonomous,4,en,COMMS,post_message,,,True
Create a task for the development team,basic,1,en,TASKS,create_ticket,,,False
Automatically send a renewal reminder 90 days before contract end,autonomous,4,en,EMAIL,send_message,,,True
Briefer l investisseur avant la reunion de presentation,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Redigi sempre una proposta di follow-up dopo ogni demo,autonomous,4,it,COMMS,post_message,,,True
部署完成后通知团队,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Brief the leadership team before the strategy presentation,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Preduprezhdenie menedzhera po akkaunty do istecheniya srok dogovora,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Creer une tache pour l equipe de developpement,basic,1,fr,TASKS,create_ticket,,,False
Rezyumirovany zametki soveshchaniya,basic,1,ru,AI,summarise,,,False
Book a conference room for Thursday,basic,1,en,CALENDAR,create_event,,,False
Draft the press release,basic,1,en,DOCS,draft_document,,,False
Prepare the handover notes before the team transition,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Draft the exit survey before the employee's last day,predictive,3,en,DOCS,draft_document,,prediction_window,False
Publicar as notas de versao quando o build entrar em producao,context_aware,2,pt,COMMS,post_message,trigger_condition,,False
Immer ein Jira-Ticket erstellen wenn ein Fehler gemeldet wird,autonomous,4,de,TASKS,create_ticket,,,True
Sempre redigir uma proposta de acompanhamento apos cada demo,autonomous,4,pt,COMMS,post_message,,,True
Automatically back up the database every night,autonomous,4,en,WORKFLOW,execute,,,True
Alertar o financeiro antes do vencimento do pagamento,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Post the product update to the blog channel,basic,1,en,CRM,update_record,,,False
Always post the weekly KPI dashboard on Fridays,autonomous,4,en,ANALYTICS,fetch_report,,,True
Post the release notes to the dev channel,basic,1,en,COMMS,post_message,,,False
Post the update when the roadmap is finalised,context_aware,2,en,CRM,update_record,trigger_condition,,False
Keep emailing prospects until they respond or unsubscribe,autonomous,4,en,EMAIL,send_message,,,True
Nach jedem Kundengespräch immer ein Nachbriefing planen,autonomous,4,de,WORKFLOW,execute,,,True
Notify the CEO if revenue drops below target,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Always draft a follow-up proposal after every demo,autonomous,4,en,DOCS,draft_document,,,True
Automatically send the board pack one week before every board meeting,autonomous,4,en,EMAIL,send_message,,,True
Autonomously log all support tickets in the CRM,autonomous,4,en,CRM,update_record,,,True
Send the summary before the weekly standup,predictive,3,en,EMAIL,send_message,,prediction_window,False
Remind the account team before the renewal conversation,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Brief the support team before the feature goes live,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Agendar um debriefing apos a apresentacao,context_aware,2,pt,CALENDAR,create_event,trigger_condition,,False
Send the status update when the sprint review is done,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Book the client dinner for Friday,basic,1,en,CALENDAR,create_event,,,False
Resumir as notas da reuniao,basic,1,pt,AI,summarise,,,False
Log the outcome once the negotiation concludes,context_aware,2,en,CRM,update_record,trigger_condition,,False
付款到期前提醒财务部门,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Update the contact details in Salesforce,basic,1,en,CRM,update_record,,,False
Notify finance if the deal is won,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Zapanirovat razrazhenie posle prezentatsii,context_aware,2,ru,WORKFLOW,execute,trigger_condition,,False
Email the partner when the agreement is signed,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Enviar a fatura para a equipe financeira,basic,1,pt,EMAIL,send_message,,,False
Fetch the churn rate for last quarter,basic,1,en,WORKFLOW,execute,,,False
Invia il bilancio quando i conti sono chiusi,context_aware,2,it,EMAIL,send_message,trigger_condition,,False
Post the release notes when the build goes live,context_aware,2,en,COMMS,post_message,trigger_condition,,False
Remind the team lead before the performance review cycle,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Opublikovat obnovlenie v kanale Slack,basic,1,ru,CRM,update_record,,,False
صياغة الاقتراح قبل جلسة التقديم,predictive,3,ar,DOCS,draft_document,,prediction_window,False
Schedule a board meeting for Tuesday,basic,1,en,CALENDAR,create_event,,,False
Ticket erstellen wenn die Fehlerrate 5 Prozent uebersteigt,context_aware,2,de,TASKS,create_ticket,trigger_condition,,False
持续监控销售渠道并标记停滞的交易,autonomous,4,zh,WORKFLOW,execute,,,True
Redigi la proposta prima del pitch,predictive,3,it,COMMS,post_message,,prediction_window,False
Zapanirovat zvonok kogda klient otvetit,context_aware,2,ru,WORKFLOW,execute,trigger_condition,,False
Siempre programar un resumen despues de cada llamada con el cliente,autonomous,4,es,CALENDAR,create_event,,,True
Notify the team if the server restarts,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Briefer l equipe avant la presentation client,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Continuously monitor error rates and create a ticket if above threshold,autonomous,4,en,TASKS,create_ticket,,,True
Obter o relatorio do pipeline do terceiro trimestre,basic,1,pt,ANALYTICS,fetch_report,,,False
Log the call if the prospect requests a callback,context_aware,2,en,CRM,update_record,trigger_condition,,False
Send the pre-read before the board presentation,predictive,3,en,EMAIL,send_message,,prediction_window,False
Automatically post customer feedback to the product Slack channel,autonomous,4,en,COMMS,post_message,,,True
Automatically archive completed projects in Notion,autonomous,4,en,WORKFLOW,execute,,,True
Continuously monitor social mentions and alert the marketing team,autonomous,4,en,WORKFLOW,execute,,,True
合同到期前发送续约报价,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Notifier les finances si la transaction est gagnee,context_aware,2,fr,WORKFLOW,execute,trigger_condition,,False
Email the invoice to the finance team,basic,1,en,EMAIL,send_message,,,False
Prepare the data export before the audit,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Schedule a retrospective if the sprint velocity drops,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Alert customer success before the health score drops,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Send the financial forecast before the board meeting,predictive,3,en,EMAIL,send_message,,prediction_window,False
Creer un ticket Jira pour le bug de connexion,basic,1,fr,TASKS,create_ticket,,,False
Send the performance review template before appraisals,predictive,3,en,EMAIL,send_message,,prediction_window,False
Email the investor when the monthly metrics are ready,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Invia la fattura quando il progetto viene consegnato,context_aware,2,it,EMAIL,send_message,trigger_condition,,False
Keep notifying the finance team whenever an expense is submitted,autonomous,4,en,WORKFLOW,execute,,,True
Post the monthly metrics to Teams,basic,1,en,COMMS,post_message,,,False
Informar o investidor antes da reuniao de apresentacao,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Enviar a cotacao de renovacao antes do contrato expirar,predictive,3,pt,EMAIL,send_message,,prediction_window,False
Redactar la propuesta antes del argumento de venta,predictive,3,es,DOCS,draft_document,,prediction_window,False
Continuously scan for duplicate contacts and merge them automatically,autonomous,4,en,WORKFLOW,execute,,,True
Notifica il team una volta completato il deployment,context_aware,2,it,WORKFLOW,execute,trigger_condition,,False
Notifier l equipe une fois le deploiement termine,context_aware,2,fr,WORKFLOW,execute,trigger_condition,,False
Resumir las notas de la reunion,basic,1,es,AI,summarise,,,False
Write a follow-up email to the prospect,basic,1,en,EMAIL,send_message,,,False
Enviar el informe cuando el auditor firme,context_aware,2,es,EMAIL,send_message,trigger_condition,,False
Set up a demo call for next week,basic,1,en,WORKFLOW,execute,,,False
Keep the CRM updated whenever a contact changes role,autonomous,4,en,CRM,update_record,,,True
Create an issue for the mobile bug,basic,1,en,TASKS,create_ticket,,,False
Notify the team when the new hire starts,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Compose the quarterly update email,basic,1,en,EMAIL,send_message,,,False
Always update the project timeline in Jira when a task is completed,autonomous,4,en,CRM,update_record,,,True
Prepare the investor update before the monthly check-in,predictive,3,en,CRM,update_record,,prediction_window,False
Wochenbericht an das Team senden,basic,1,de,EMAIL,send_message,,,False
Agendar uma ligacao quando o cliente responder,context_aware,2,pt,CALENDAR,create_event,trigger_condition,,False
Send the agenda once the meeting is confirmed,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
File a bug report for the API issue,basic,1,en,TASKS,create_ticket,,,False
تلخيص ملاحظات الاجتماع,basic,1,ar,AI,summarise,,,False
Avtomaticheski obnovlyat CRM pri izmenenii etapa sdelki,autonomous,4,ru,CRM,update_record,,,True
Draft the partnership proposal before the meeting,predictive,3,en,DOCS,draft_document,,prediction_window,False
Send the travel briefing before the conference,predictive,3,en,EMAIL,send_message,,prediction_window,False
Prepare the competitive analysis before the strategy day,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Woechentlichen Bericht immer automatisch jeden Montag senden,autonomous,4,de,EMAIL,send_message,,,True
季度审查前准备董事会材料,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Recap the strategy meeting,basic,1,en,AI,summarise,,,False
Draft the handover document once the project closes,context_aware,2,en,DOCS,draft_document,trigger_condition,,False
حجز مكالمة مع العميل,basic,1,ar,WORKFLOW,execute,,,False
Email the board when the fundraising round closes,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Remind the recruiter before the offer expires,predictive,3,en,WORKFLOW,execute,,prediction_window,False
CRM automatisch aktualisieren wenn sich eine Deal-Phase aendert,autonomous,4,de,CRM,update_record,,,True
Invia l ordine del giorno prima della riunione del consiglio,predictive,3,it,CALENDAR,create_event,,prediction_window,False
Log the feedback once the survey closes,context_aware,2,en,CRM,update_record,trigger_condition,,False
Create a task for the content team,basic,1,en,TASKS,create_ticket,,,False
Always prepare a handover doc when a project closes,autonomous,4,en,WORKFLOW,execute,,,True
为登录错误创建Jira工单,basic,1,zh,TASKS,create_ticket,,,False
Send the system status report before the customer call,predictive,3,en,EMAIL,send_message,,prediction_window,False
ارسال الفاتورة الى الفريق المالي,basic,1,ar,EMAIL,send_message,,,False
Continuously run the weekly data quality check on the CRM,autonomous,4,en,CRM,update_record,,,True
Send the budget request before the planning cycle closes,predictive,3,en,EMAIL,send_message,,prediction_window,False
Bilanz senden wenn die Konten geschlossen sind,context_aware,2,de,EMAIL,send_message,trigger_condition,,False
Keep the engineering standup notes in Confluence updated daily,autonomous,4,en,CRM,update_record,,,True
Kunden benachrichtigen bevor die Testphase endet,predictive,3,de,WORKFLOW,execute,,prediction_window,False
Alert the delivery team before the launch date,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Open a ticket for the onboarding issue,basic,1,en,TASKS,create_ticket,,,False
Toujours planifier un debrief apres chaque appel client,autonomous,4,fr,CALENDAR,create_event,,,True
Avtomaticheski otpravlyat ezhenedelnyy otchet kazhdyy ponedelnik,autonomous,4,ru,ANALYTICS,fetch_report,,,True
Send the agenda when attendees are confirmed,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Prepare the security audit before the compliance deadline,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Summarise the sales call,basic,1,en,AI,summarise,,,False
Automatically send the satisfaction survey after every support close,autonomous,4,en,EMAIL,send_message,,,True
Publicar automaticamente el resumen del standup diario en Slack,autonomous,4,es,COMMS,post_message,,,True
将发票发送给财务团队,basic,1,zh,WORKFLOW,execute,,,False
Otpravit povestku dnya pered zasedaniem soveta,predictive,3,ru,EMAIL,send_message,,prediction_window,False
Planifier une reunion du conseil pour mardi,basic,1,fr,CALENDAR,create_event,,,False
Otpravit schet finansovoy komande,basic,1,ru,EMAIL,send_message,,,False
Uvedomit klienta pered okonchaniem probnogo perioda,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Invia automaticamente il rapporto settimanale ogni lunedi mattina,autonomous,4,it,EMAIL,send_message,,,True
版本上线后发布发布说明,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Book a call with the client,basic,1,en,CALENDAR,create_event,,,False
Schedule the product demo,basic,1,en,CALENDAR,create_event,,,False
Summarise the meeting notes,basic,1,en,AI,summarise,,,False
Email the customer when their trial is about to expire,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Engineering benachrichtigen sobald die Spezifikation genehmigt ist,context_aware,2,de,WORKFLOW,execute,trigger_condition,,False
Invia la fattura al team finanziario,basic,1,it,EMAIL,send_message,,,False
Notificar al equipo una vez completada la implementacion,context_aware,2,es,WORKFLOW,execute,trigger_condition,,False
Investor briefen bevor das Pitch-Meeting stattfindet,predictive,3,de,WORKFLOW,execute,,prediction_window,False
Book a room for the all-hands meeting,basic,1,en,CALENDAR,create_event,,,False
Draft the terms of service update before the legal review,predictive,3,en,CRM,update_record,,prediction_window,False
Siempre redactar una propuesta de seguimiento despues de cada demostracion,autonomous,4,es,DOCS,draft_document,,,True
Pianifica un debriefing dopo la presentazione,context_aware,2,it,WORKFLOW,execute,trigger_condition,,False
Notify legal when the NDA is ready,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Brief the board before the strategic planning session,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Prepare the renewal deck before the account review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
成交后通知财务部门,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
جدولة مكالمة عند رد العميل,context_aware,2,ar,WORKFLOW,execute,trigger_condition,,False
Post the team photo to the company Slack,basic,1,en,COMMS,post_message,,,False
Draft the retrospective template before the sprint ends,predictive,3,en,DOCS,draft_document,,prediction_window,False
Finanzen alertieren bevor die Zahlung faellig ist,predictive,3,de,WORKFLOW,execute,,prediction_window,False
Summarise the product feedback session,basic,1,en,AI,summarise,,,False
每次演示后自动起草跟进提案,autonomous,4,zh,WORKFLOW,execute,,,True
Planifier un debrief apres la presentation,context_aware,2,fr,CALENDAR,create_event,trigger_condition,,False
Criar um ticket se a taxa de erro ultrapassar 5 por cento,context_aware,2,pt,TASKS,create_ticket,trigger_condition,,False
Update the lead status once they respond,context_aware,2,en,CRM,update_record,trigger_condition,,False
Uvedomit inzheneriyu posle odobreniya spetsifikatsiy,context_aware,2,ru,WORKFLOW,execute,trigger_condition,,False
Continuously monitor the runway and alert if below 6 months,autonomous,4,en,WORKFLOW,execute,,,True
演示结束后安排总结会议,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Write the board presentation,basic,1,en,DOCS,draft_document,,,False
تسجيل جميع مكالمات العملاء تلقائيا في هبسبوت,autonomous,4,ar,WORKFLOW,execute,,,True
Update the CRM after the call ends,context_aware,2,en,CRM,update_record,trigger_condition,,False
Create a ticket for the performance bug,basic,1,en,TASKS,create_ticket,,,False
Angebotsdokument verfassen,basic,1,de,DOCS,draft_document,,,False
Planifier un entretien individuel avec le responsable de compte,basic,1,fr,CALENDAR,create_event,,,False
Jira-Ticket fuer den Anmeldefehler erstellen,basic,1,de,TASKS,create_ticket,,,False
Summarise the investor feedback,basic,1,en,AI,summarise,,,False
每次客户通话后自动安排总结,autonomous,4,zh,WORKFLOW,execute,,,True
Publier la mise a jour sur le canal Slack,basic,1,fr,COMMS,post_message,,,False
在Slack频道发布更新,basic,1,zh,COMMS,post_message,,,False
Automatically create an onboarding task list for every new customer,autonomous,4,en,TASKS,create_ticket,,,True
Avvisa il responsabile account prima della scadenza del contratto,predictive,3,it,WORKFLOW,execute,,prediction_window,False
Sempre criar um ticket Jira quando um bug for relatado,autonomous,4,pt,TASKS,create_ticket,,,True
تحديث سيلزفورس تلقائيا بعد كل مكالمة مبيعات,autonomous,4,ar,CRM,update_record,,,True
